iter	Passed	Remaining
0	2	203
1	3	161
2	4	142
3	5	127
4	5	112
5	6	101
6	6	92
7	7	85
8	8	80
9	8	76
10	9	73
11	9	70
12	10	67
13	10	64
14	11	62
15	11	60
16	12	58
17	12	56
18	12	55
19	13	53
20	13	52
21	14	51
22	14	50
23	15	49
24	15	47
25	16	46
26	16	45
27	17	44
28	17	43
29	18	43
30	18	42
31	19	41
32	20	40
33	20	39
34	21	39
35	21	38
36	22	37
37	22	37
38	23	36
39	23	35
40	24	34
41	24	33
42	24	33
43	25	32
44	25	31
45	26	31
46	26	30
47	27	29
48	27	29
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	20
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	17
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	7
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
