iter	Passed	Remaining
0	220	220533
1	222	110976
2	223	74270
3	224	55889
4	226	45053
5	227	37722
6	228	32435
7	229	28471
8	230	25386
9	232	22974
10	233	20990
11	234	19309
12	235	17879
13	236	16656
14	237	15605
15	239	14716
16	240	13895
17	241	13161
18	242	12504
19	243	11913
20	244	11416
21	245	10933
22	246	10489
23	247	10080
24	248	9704
25	249	9358
26	251	9064
27	252	8766
28	253	8487
29	254	8229
30	255	7986
31	257	7781
32	258	7569
33	259	7367
34	260	7177
35	261	6995
36	262	6826
37	264	6685
38	265	6533
39	266	6387
40	267	6248
41	268	6115
42	269	6001
43	270	5881
44	271	5764
45	272	5653
46	273	5546
47	274	5444
48	276	5362
49	277	5275
50	278	5185
51	279	5098
52	280	5013
53	282	4945
54	283	4867
55	284	4791
56	285	4717
57	286	4646
58	287	4578
59	288	4526
60	289	4462
61	290	4401
62	292	4347
63	293	4289
64	294	4242
65	296	4189
66	297	4136
67	298	4085
68	299	4034
69	300	3992
70	301	3948
71	302	3903
72	303	3857
73	304	3812
74	305	3771
75	307	3741
76	308	3701
77	309	3662
78	310	3625
79	312	3588
80	313	3560
81	315	3527
82	315	3487
83	316	3453
84	317	3421
85	319	3395
86	321	3373
87	322	3345
88	324	3316
89	325	3291
90	326	3265
91	328	3241
92	329	3215
93	331	3191
94	332	3170
95	334	3146
96	335	3122
97	336	3099
98	338	3078
99	339	3055
100	340	3031
101	341	3007
102	343	2987
103	344	2970
104	345	2949
105	347	2929
106	348	2912
107	350	2898
108	352	2881
109	353	2863
110	355	2844
111	357	2832
112	358	2814
113	359	2797
114	361	2779
115	362	2763
116	364	2747
117	365	2730
118	366	2713
119	367	2696
120	369	2681
121	370	2666
122	372	2652
123	373	2637
124	374	2623
125	376	2613
126	378	2598
127	379	2583
128	380	2568
129	382	2557
130	383	2547
131	385	2532
132	386	2520
133	388	2509
134	389	2497
135	390	2482
136	391	2468
137	393	2455
138	394	2445
139	395	2430
140	396	2416
141	397	2400
142	398	2388
143	400	2380
144	402	2370
145	403	2358
146	404	2347
147	405	2337
148	407	2326
149	408	2316
150	410	2306
151	411	2296
152	413	2288
153	414	2279
154	415	2267
155	417	2258
156	419	2252
157	421	2244
158	422	2234
159	423	2222
160	424	2213
161	426	2205
162	427	2195
163	428	2186
164	430	2177
165	432	2171
166	433	2161
167	434	2151
168	435	2142
169	437	2135
170	438	2127
171	440	2118
172	441	2109
173	442	2101
174	444	2093
175	445	2085
176	446	2076
177	447	2067
178	449	2060
179	450	2051
180	451	2042
181	452	2034
182	453	2025
183	455	2018
184	456	2012
185	458	2004
186	459	1997
187	460	1989
188	462	1984
189	463	1975
190	464	1968
191	465	1960
192	467	1953
193	468	1947
194	469	1939
195	471	1932
196	472	1924
197	473	1919
198	475	1913
199	477	1908
200	478	1901
201	479	1895
202	481	1890
203	483	1884
204	484	1878
205	485	1873
206	487	1868
207	489	1862
208	490	1855
209	491	1850
210	493	1845
211	494	1839
212	496	1832
213	497	1826
214	498	1821
215	500	1815
216	501	1809
217	502	1803
218	503	1796
219	505	1792
220	506	1786
221	508	1780
222	509	1773
223	510	1767
224	512	1764
225	513	1758
226	514	1753
227	516	1749
228	518	1746
229	520	1741
230	521	1736
231	522	1730
232	524	1726
233	525	1720
234	527	1716
235	529	1712
236	530	1708
237	532	1704
238	534	1701
239	535	1695
240	537	1691
241	538	1687
242	539	1682
243	541	1678
244	543	1675
245	545	1672
246	547	1669
247	549	1664
248	550	1660
249	551	1655
250	553	1650
251	554	1646
252	556	1641
253	557	1637
254	558	1632
255	559	1627
256	561	1623
257	562	1619
258	564	1614
259	565	1610
260	567	1606
261	568	1602
262	569	1597
263	571	1593
264	572	1588
265	574	1585
266	575	1581
267	577	1576
268	578	1573
269	580	1570
270	582	1566
271	583	1562
272	585	1557
273	586	1555
274	588	1551
275	589	1547
276	591	1543
277	592	1539
278	594	1535
279	595	1530
280	596	1526
281	598	1523
282	599	1519
283	600	1514
284	602	1511
285	603	1506
286	605	1503
287	606	1499
288	607	1494
289	608	1490
290	609	1486
291	611	1483
292	613	1479
293	614	1475
294	615	1471
295	617	1467
296	618	1463
297	619	1460
298	621	1456
299	622	1452
300	624	1449
301	625	1445
302	626	1441
303	628	1437
304	629	1434
305	631	1431
306	632	1427
307	633	1423
308	635	1420
309	636	1417
310	638	1413
311	639	1409
312	640	1406
313	642	1403
314	643	1400
315	645	1396
316	646	1393
317	648	1390
318	649	1387
319	651	1383
320	652	1380
321	654	1377
322	655	1373
323	656	1370
324	658	1367
325	659	1364
326	661	1361
327	662	1357
328	663	1353
329	665	1350
330	667	1348
331	668	1344
332	669	1341
333	670	1337
334	672	1334
335	673	1330
336	674	1327
337	675	1323
338	676	1320
339	678	1316
340	679	1313
341	681	1310
342	682	1307
343	683	1304
344	685	1301
345	686	1297
346	687	1294
347	689	1291
348	690	1288
349	692	1285
350	693	1282
351	694	1279
352	696	1277
353	698	1274
354	699	1271
355	700	1268
356	702	1264
357	704	1262
358	705	1259
359	706	1256
360	707	1252
361	709	1250
362	710	1247
363	712	1244
364	713	1241
365	715	1239
366	717	1237
367	718	1234
368	720	1231
369	722	1229
370	723	1226
371	724	1223
372	726	1221
373	728	1219
374	730	1216
375	731	1213
376	732	1210
377	734	1208
378	735	1205
379	736	1202
380	738	1199
381	739	1196
382	740	1193
383	742	1190
384	743	1187
385	744	1184
386	746	1182
387	747	1179
388	749	1176
389	750	1173
390	751	1170
391	753	1168
392	754	1165
393	755	1162
394	756	1158
395	757	1155
396	759	1153
397	760	1150
398	761	1147
399	763	1145
400	765	1143
401	766	1140
402	768	1138
403	769	1135
404	770	1132
405	772	1129
406	773	1126
407	774	1123
408	775	1120
409	777	1119
410	779	1117
411	780	1114
412	782	1111
413	783	1109
414	784	1106
415	786	1103
416	787	1100
417	788	1098
418	790	1096
419	792	1094
420	793	1091
421	795	1089
422	797	1087
423	798	1084
424	799	1082
425	801	1079
426	802	1076
427	803	1074
428	805	1072
429	807	1069
430	808	1067
431	810	1065
432	811	1062
433	812	1059
434	814	1057
435	815	1055
436	816	1052
437	818	1050
438	820	1048
439	821	1045
440	823	1043
441	824	1040
442	825	1038
443	827	1036
444	829	1034
445	830	1031
446	832	1029
447	833	1027
448	834	1024
449	836	1022
450	837	1019
